site,type1,type2,type3,notes,location,source
empirenews.net,Parody site,,,,"Chesterbrook, Pa ^",Politifact
empiresports.co,Parody site,,,,"Sellersburg, IN",Politifact
empiresports.co,Satire,,,About Me notes that it's not fake/Satire news,,OpenSources
empiresports.co,Satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
emptywheel.net,Political,,,commentary on current events/news,,OpenSources
en-volve.com,Fake news,,,,"Chesterbrook, Pa. ^",Politifact
en-vovle.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
enabon.com,Fake news,,,"No authors, no contact, just copy/pasted from other questionable sites",,OpenSources
endingthefed.com,Bias, ,,,,OpenSources
endoftheamericandream.com,Conspiracy,Fake news,Political,Traffics in religious Conspiracy theories and poorly sourced pro-Trump propaganda,,OpenSources
endtime.com,Bias,Clickbait,Political,Not sure about this one. zany religious prophecy/not really Conspiracy,,OpenSources
enduringvision.com,Fake news,,,,,OpenSources
enhlive.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
enhlive.com,Fake news,,,,"Brea, Calif. !!",Politifact
eutimes.net,Hate,Conspiracy,,,,OpenSources
eutopia.buzz,Fake news,Satire,Conspiracy,,,OpenSources
ewao.com,Junksci,,,,,OpenSources
experimentalvaccines.org,Junksci,Conspiracy,,,,OpenSources
expose1933.com,Conspiracy,Hate,,"references to ""white genocide"" and ""race mixing""",,OpenSources
express.co.uk,Rumour,,,well-known tabloid,,OpenSources
extraclubmagazine.com,Bias,Clickbait,Fake news,vacillates between outright fake and misleading stories,,OpenSources
eyeopening.info,Conspiracy,Junksci,,,,OpenSources
fakingnews.com,Fake news,Satire,,fiction disclaimer on bottom of home screen ,,OpenSources
familysecuritymatters.org,Conspiracy,Bias,,,,OpenSources
farmwars.info,Fake news,Conspiracy,,"Much of the site is focused on anti-GMO conspiracies, with Political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this.",,OpenSources
federalistpress.com,Bias,,,,,OpenSources
federalisttribune.com,Fake news,,,,"Brea, Calif. !!",Politifact
fedsalert.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
fedsalert.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
fellowshipoftheminds.com,Conspiracy,Junksci,,,,OpenSources
filmsforaction.org,Political,,,,,OpenSources
financialsurvivalnetwork.com,Unreliable,Bias,,,,OpenSources
firearmscoalition.org,Bias,Blog,,"A single-issue Blog, it hasn't been updated since August 2016. It talks about guns, has lots of dead links, and has trouble distinguishing between legitimate and illegitimate sources.",,OpenSources
firstpost.com,Some fake stories,,,,"Mumbai, India",Politifact
flashnewscorner.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
flashnewscorner.com,Fake news,,,,"Panama, Pa.*",Politifact
floridasunpost.com,Fake news,Satire,,I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb ,,OpenSources
floridasunpost.com,Parody site,,,,"Toronto, Canada !!!",Politifact
fmobserver.com,Satire,,,,,OpenSources
focusnews.info,Fake news,,,,"Scottsdale, Ariz. **",Politifact
fognews.ru,Satire,,,site contains satire disclaimer,,OpenSources
foodbabe.com,Junksci,,,,,OpenSources
foreignpolicyjournal.com,Political,,,legit source coming from a Political perspective,,OpenSources
fourwinds10.net,Conspiracy,Junksci,,,,OpenSources
fox-news24.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
fprnradio.com,Conspiracy,Fake news,,,,OpenSources
freakoutnation.com,Bias,,,,,OpenSources
freebeacon.com,Bias,,,,,OpenSources
freedomcrossroads.us,Fake news,,,,"North Waterboro, Me.",Politifact
freedomdaily.com,Fake news,,,,,OpenSources
freedomdaily.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
freedomforceinternational.com,Conspiracy,,,global warming denial,,OpenSources
freedomoutpost.com,Conspiracy,Bias, ,,,OpenSources
freedomsfinalstand.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
freedomsphoenix.com,Bias,Conspiracy,,,,OpenSources
freedomworks.org,Political,,,,,OpenSources
freedomworldnews.com,Bias,Unreliable,,,,OpenSources
freepatriot.org,Satire,,,site contains satire disclaimer ,,OpenSources
freewoodpost.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
freewoodpost.com,Satire,,,,,OpenSources
freshdailyreport.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
freshdailyreport.com,Fake news,,,,"Veles, Macedonia",Politifact
fridaymash.com,Satire,,,,,OpenSources
fromthetrenchesworldreport.com,Conspiracy,Junksci,Bias,,,OpenSources
frontpagemag.com,Bias,Hate,,Part of David Horowitz' Freedom Center,,OpenSources
fusion.net,Political,reliable,,website contains some satire ,,OpenSources
gaia.com,Conspiracy,Junksci,,,,OpenSources
galacticconnection.com,Junksci,,,,,OpenSources
